name,timing,taste,ingredients/0/ingredient,ingredients/0/amount,ingredients/0/unit,ingredients/1/ingredient,ingredients/1/amount,ingredients/1/unit,ingredients/2/ingredient,ingredients/2/amount,ingredients/2/unit,preparation,ingredients/3/ingredient,ingredients/3/amount,ingredients/3/unit,source,ingredients/4/ingredient,ingredients/4/amount,ingredients/4/unit
Americano,Pre-dinner,Bitter sweet,Campari,3,cl,Sweet Vermouth,3,cl,Soda water,1,splash,Stirred,,,,,,,
Daiquiri,Pre-dinner,Fresh,Light Rum,4.5,cl,Lime juice,2.5,cl,Simple syrup,1.5,cl,Shaken,,,,,,,
Hemingway Daiquiri,Pre-dinner,Fresh,Light Rum,6,cl,Lime juice,2.5,cl,Maraschino,1.5,cl,Shaken,Grapefruit juice,1.5,cl,,,,
Whiskey Sour,Pre-dinner,Sour,Bourbon Whiskey,4.5,cl,Lemon juice,3,cl,Simple syrup,1.5,cl,Shaken,Egg white,1,dash,,,,
Napa Vally Sour,Pre-dinner,Sour,Rye Whiskey,6,cl,Lemon juice,2,cl,Red wine syrup,2,cl,Shaken,Egg white,1,dash,,,,
Grand Marnier Sour,Pre-dinner,Sour,Grand Marnier,4,cl,Lemon juice,3,cl,Egg white,1,dash,Shaken,,,,,,,
Bacardi,Pre-dinner,Fresh,Light Rum,4.5,cl,Lemon juice,2,cl,Grenadine,1,cl,Shaken,,,,,,,
Dry Martini,Pre-dinner,Boozy,Gin,6,cl,Dry Vermouth,3,cl,,,,Stirred,,,,,,,
Manhattan,Pre-dinner,Boozy,Rye Whiskey,5,cl,Sweet Vermouth,2,cl,Angostura bitters,1,dash,Stirred,,,,,,,
Negroni,Pre-dinner,Bitter sweet,Gin,3,cl,Sweet Vermouth,3,cl,Campari,3,cl,Stirred,,,,,,,
Boulevardier,Pre-dinner,Bitter sweet,Bourbon Whiskey,3,cl,Sweet Vermouth,3,cl,Campari,3,cl,Stirred,,,,,,,
Old Pal,Pre-dinner,Bitter sweet,Rye Whiskey,3,cl,Dry Vermouth,3,cl,Campari,3,cl,Stirred,,,,,,,
Old Fashioned,Pre-dinner,Boozy,Rye Whiskey,6,cl,Simple syrup,1,cl,Angostura bitters,2,dashes,Stirred,,,,,,,
Blood and Sand,Pre-dinner,Sweet,Scotch Whisky,2,cl,Sweet Vermouth,2,cl,Cherry Heering,2,cl,Shaken,Orange juice,2,cl,"The Savoy Cocktail Book, Harry Craddock (1930)",,,
Toronto,Pre-dinner,Bitter sweet,Canadian Whisky,6,cl,Fernet-Branca,2,cl,Simple syrup,1,cl,Stirred,Angostura bitters,4,dashes,,,,
Cynar Toronto,Pre-dinner,Bitter sweet,Rye Whiskey,6,cl,Cynar,2,cl,Angostura bitters,4,dashes,Stirred,,,,,,,
Cynartown,Pre-dinner,Bitter sweet,Gin,6,cl,Sweet Vermouth,2.25,cl,Cynar,1.5,cl,Stirred,,,,Death & Co book,,,
Bitter Mimosa,All day,Fresh,Champagne,9,cl,Cynar,2,cl,Grapefruit juice,9,cl,Stirred,,,,,,,
Black Velvet,All day,Fresh,Champagne,4,cl,Guinness Stout,4,cl,,,,Stirred,,,,"The Savoy Cocktail Book, Harry Craddock (1930)",,,
